1763623044.5036654, 65
1763623044.5084438, 71
1763623044.511409, 74
1763623044.5140615, 61
1763623044.5165136, 72
1763623044.519403, 66
1763623044.5215795, 69
1763623044.5242167, 78
1763623044.525748, 63
1763623044.5277495, 75
1763623044.5291662, 64
1763623044.6775975, 81
1763623044.7897756, 83
1763623044.8389068, 84
1763623044.8909137, 85
1763623045.1055756, 89
1763623045.1504393, 90
1763623045.2234445, 91
1763623045.3656201, 94
1763623045.678519, 100
1763623045.7364569, 101
1763623045.8907788, 104
1763623045.9457693, 105
1763623046.222772, 110
1763623046.2724776, 111
1763623046.4746394, 115
1763623046.5768962, 117
1763623046.6827097, 119
1763623046.73848, 120
1763623046.792532, 121
1763623046.9428442, 124
1763623046.9915493, 125
1763623047.1101518, 127
1763623047.1582189, 128
1763623047.2094991, 129
1763623047.2635615, 130
1763623047.3774579, 132
1763623047.4908464, 134
1763623047.532896, 135
1763623047.6857429, 138
1763623047.8490958, 141
1763623047.8993733, 142
1763623047.9943726, 144
1763623048.1064255, 146
1763623048.2626681, 149
1763623048.3141537, 150
1763623048.3727803, 151
1763623048.4724035, 153
1763623048.5246706, 154
1763623048.5793316, 155
1763623048.6234322, 156
1763623048.7871761, 159
1763623048.846896, 160
1763623048.9459448, 162
1763623049.1574707, 166
1763623049.3095508, 169
1763623049.58337, 174
1763623049.907243, 180
1763623049.9428647, 181
1763623050.0643184, 183
1763623050.1656573, 185
1763623050.2168248, 186
1763623050.2731926, 187
1763623050.3230953, 188
1763623050.3727417, 189
1763623050.5859518, 193
1763623050.6387408, 194
1763623050.9551296, 200
1763623051.054788, 202
1763623051.1186974, 203
1763623051.1606488, 204
1763623051.4286458, 209
1763623051.4813936, 210
1763623051.6292372, 213
1763623051.693675, 214
1763623051.8553464, 217
1763623051.9078863, 218
1763623051.9553702, 219
1763623052.2228606, 224
1763623052.3907974, 227
1763623052.430682, 228
1763623052.4878168, 229
1763623052.5378342, 230
1763623053.071489, 240
1763623053.1203148, 241
1763623053.1724837, 242
1763623053.2719297, 244
1763623053.3286822, 245
1763623053.4417305, 247
1763623053.493806, 248
1763623053.5383534, 249
1763623053.5916781, 250
1763623053.6486967, 251
1763623053.7571952, 253
1763623053.8153589, 254
1763623053.9136806, 256
1763623054.0231946, 258
1763623054.1201136, 260
1763623054.177292, 261
1763623054.2282047, 262
1763623054.3367584, 264
1763623054.3724093, 265
1763623054.493216, 267
1763623054.5856025, 269
1763623054.643446, 270
1763623054.735935, 271
1763623054.74686, 272
1763623054.812045, 273
1763623054.8505678, 274
1763623054.91604, 275
1763623054.970789, 276
1763623055.0215702, 277
1763623055.0757434, 278
1763623055.1687922, 299
1763623055.2204468, 300
1763623055.2738426, 301
1763623055.323589, 302
1763623055.3803656, 303
1763623055.7292914, 304
1763623055.7638118, 305
1763623055.8143215, 306
1763623055.8662019, 307
1763623055.9154975, 308
1763623055.9699514, 309
1763623056.0356176, 310
1763623056.1187625, 311
1763623056.17524, 312
1763623056.2266986, 313
1763623056.2776449, 314
1763623056.3390868, 315
1763623056.3852952, 316
1763623056.4361858, 317
1763623056.488287, 318
1763623056.5791876, 319
1763623056.6307979, 320
1763623056.681554, 321
1763623056.733584, 322
1763623056.7857985, 323
1763623056.83705, 324
1763623056.8875294, 325
1763623056.9406688, 326
1763623056.9939418, 327
1763623057.0463932, 328
1763623057.098887, 329
1763623057.150134, 330
1763623057.2073476, 331
1763623057.2576072, 332
1763623057.313531, 333
1763623057.3709285, 334
1763623057.4247227, 335
1763623057.4747603, 336
1763623057.5279171, 337
1763623057.5829182, 338
1763623057.6308398, 339
1763623057.681921, 340
1763623057.7336955, 341
1763623057.7842224, 342
1763623057.8385584, 343
1763623057.8921463, 344
1763623057.945753, 345
1763623057.9967484, 346
1763623058.0473964, 347
1763623058.099584, 348
1763623058.186177, 349
1763623058.2355614, 350
1763623058.2933922, 351
1763623058.3466344, 352
1763623058.3998282, 353
1763623058.456445, 354
1763623058.5089495, 355
1763623058.5587864, 356
1763623058.6117578, 357
1763623058.6693678, 358
1763623058.7226021, 359
1763623058.7745814, 360
1763623058.8285472, 361
1763623058.8816874, 362
1763623058.9317675, 363
1763623058.990615, 364
1763623059.043593, 365
1763623059.0946293, 366
1763623059.1479235, 367
1763623059.203566, 368
1763623059.2551644, 369
1763623059.3113463, 370
1763623059.3641813, 371
1763623059.4214256, 372
1763623059.471252, 373
1763623059.5192754, 374
1763623059.5701888, 375
1763623059.6196783, 376
1763623059.6730685, 377
1763623059.7286682, 378
1763623059.7844212, 379
1763623059.8404238, 380
1763623059.8968937, 381
1763623059.95204, 382
1763623060.0036263, 383
1763623060.0558887, 384
1763623060.1134424, 385
1763623060.1648753, 386
1763623060.2240455, 387
1763623060.2724771, 388
1763623060.3288944, 389
1763623060.3778796, 390
1763623060.428546, 391
1763623060.4795613, 392
1763623060.534479, 393
1763623060.5906303, 394
1763623060.6413538, 395
1763623060.694923, 396
1763623060.74586, 397
1763623060.8019943, 398
1763623060.8525126, 399
1763623060.9051158, 400
1763623060.9548478, 401
1763623061.0118058, 402
1763623061.0648398, 403
1763623061.120107, 404
1763623061.1711135, 405
1763623061.2264984, 406
1763623061.278566, 407
1763623061.3292654, 408
1763623061.3799515, 409
1763623061.4356449, 410
1763623061.4877486, 411
1763623061.5397239, 412
1763623061.5921092, 413
1763623061.6633844, 414
1763623061.7002711, 415
1763623061.7559075, 416
1763623061.8085647, 417
1763623061.8608902, 418
1763623061.9213142, 419
1763623061.9745078, 420
1763623062.0241957, 421
1763623062.0742745, 422
